week,kickoff,away_team,home_team
8,2016-10-30T13:00:00-05:00,Jets,Browns
8,2016-10-30T13:00:00-05:00,Lions,Texans
8,2016-10-30T13:00:00-05:00,Chiefs,Colts
8,2016-10-30T13:00:00-05:00,Seahawks,Saints
8,2016-10-30T13:00:00-05:00,Raiders,Buccaneers
8,2016-10-30T16:05:00-05:00,Chargers,Broncos
8,2016-10-30T16:25:00-05:00,Cardinals,Panthers
8,2016-10-30T20:30:00-05:00,Eagles,Cowboys
8,2016-10-31T20:30:00-05:00,Vikings,Bears
9,2016-11-03T20:25:00-05:00,Falcons,Buccaneers
9,2016-11-06T13:00:00-05:00,Steelers,Ravens
9,2016-11-06T13:00:00-05:00,Cowboys,Browns
9,2016-11-06T13:00:00-05:00,Jaguars,Chiefs
9,2016-11-06T13:00:00-05:00,Jets,Dolphins
9,2016-11-06T13:00:00-05:00,Lions,Vikings
9,2016-11-06T13:00:00-05:00,Eagles,Giants
9,2016-11-06T16:05:00-05:00,Panthers,Rams
9,2016-11-06T16:05:00-05:00,Saints,49ers
9,2016-11-06T16:25:00-05:00,Colts,Packers
9,2016-11-06T16:25:00-05:00,Titans,Chargers
9,2016-11-06T20:30:00-05:00,Broncos,Raiders
9,2016-11-07T20:30:00-05:00,Bills,Seahawks
10,2016-11-10T20:25:00-05:00,Browns,Ravens
10,2016-11-13T13:00:00-05:00,Chiefs,Panthers
10,2016-11-13T13:00:00-05:00,Texans,Jaguars
10,2016-11-13T13:00:00-05:00,Broncos,Saints
10,2016-11-13T13:00:00-05:00,Rams,Jets
10,2016-11-13T13:00:00-05:00,Falcons,Eagles
10,2016-11-13T13:00:00-05:00,Bears,Buccaneers
10,2016-11-13T13:00:00-05:00,Packers,Titans
10,2016-11-13T13:00:00-05:00,Vikings,Redskins
10,2016-11-13T16:05:00-05:00,Dolphins,Chargers
10,2016-11-13T16:25:00-05:00,49ers,Cardinals
10,2016-11-13T16:25:00-05:00,Cowboys,Steelers
10,2016-11-13T20:30:00-05:00,Seahawks,Patriots
10,2016-11-14T20:30:00-05:00,Bengals,Giants
11,2016-11-17T20:25:00-05:00,Saints,Panthers
11,2016-11-20T13:00:00-05:00,Bills,Bengals
11,2016-11-20T13:00:00-05:00,Steelers,Browns
11,2016-11-20T13:00:00-05:00,Ravens,Cowboys
11,2016-11-20T13:00:00-05:00,Jaguars,Lions
11,2016-11-20T13:00:00-05:00,Titans,Colts
11,2016-11-20T13:00:00-05:00,Buccaneers,Chiefs
11,2016-11-20T13:00:00-05:00,Cardinals,Vikings
11,2016-11-20T13:00:00-05:00,Bears,Giants
11,2016-11-20T16:05:00-05:00,Dolphins,Rams
11,2016-11-20T16:25:00-05:00,Patriots,49ers
11,2016-11-20T16:25:00-05:00,Eagles,Seahawks
11,2016-11-20T20:30:00-05:00,Packers,Redskins
11,2016-11-21T20:30:00-05:00,Texans,Raiders
12,2016-11-24T12:30:00-05:00,Vikings,Lions
12,2016-11-24T16:30:00-05:00,Redskins,Cowboys
12,2016-11-24T20:30:00-05:00,Steelers,Colts
12,2016-11-27T13:00:00-05:00,Cardinals,Falcons
12,2016-11-27T13:00:00-05:00,Bengals,Ravens
12,2016-11-27T13:00:00-05:00,Jaguars,Bills
12,2016-11-27T13:00:00-05:00,Titans,Bears
12,2016-11-27T13:00:00-05:00,Giants,Browns
12,2016-11-27T13:00:00-05:00,Chargers,Texans
12,2016-11-27T13:00:00-05:00,49ers,Dolphins
12,2016-11-27T13:00:00-05:00,Rams,Saints
12,2016-11-27T16:05:00-05:00,Seahawks,Buccaneers
12,2016-11-27T16:25:00-05:00,Chiefs,Broncos
12,2016-11-27T16:25:00-05:00,Panthers,Raiders
12,2016-11-27T20:30:00-05:00,Patriots,Jets
12,2016-11-28T20:30:00-05:00,Packers,Eagles
13,2016-12-01T20:25:00-05:00,Cowboys,Vikings
13,2016-12-04T13:00:00-05:00,Chiefs,Falcons
13,2016-12-04T13:00:00-05:00,Dolphins,Ravens
13,2016-12-04T13:00:00-05:00,49ers,Bears
13,2016-12-04T13:00:00-05:00,Eagles,Bengals
13,2016-12-04T13:00:00-05:00,Texans,Packers
13,2016-12-04T13:00:00-05:00,Broncos,Jaguars
13,2016-12-04T13:00:00-05:00,Rams,Patriots
13,2016-12-04T13:00:00-05:00,Lions,Saints
13,2016-12-04T16:05:00-05:00,Bills,Raiders
13,2016-12-04T16:25:00-05:00,Redskins,Cardinals
13,2016-12-04T16:25:00-05:00,Giants,Steelers
13,2016-12-04T16:25:00-05:00,Buccaneers,Chargers
13,2016-12-04T20:30:00-05:00,Panthers,Seahawks
13,2016-12-05T20:30:00-05:00,Colts,Jets
14,2016-12-08T20:25:00-05:00,Raiders,Chiefs
14,2016-12-11T13:00:00-05:00,Steelers,Bills
14,2016-12-11T13:00:00-05:00,Chargers,Panthers
14,2016-12-11T13:00:00-05:00,Bengals,Browns
14,2016-12-11T13:00:00-05:00,Bears,Lions
14,2016-12-11T13:00:00-05:00,Texans,Colts
14,2016-12-11T13:00:00-05:00,Vikings,Jaguars
14,2016-12-11T13:00:00-05:00,Cardinals,Dolphins
14,2016-12-11T13:00:00-05:00,Redskins,Eagles
14,2016-12-11T13:00:00-05:00,Saints,Buccaneers
14,2016-12-11T13:00:00-05:00,Broncos,Titans
14,2016-12-11T16:05:00-05:00,Jets,49ers
14,2016-12-11T16:25:00-05:00,Seahawks,Packers
14,2016-12-11T16:25:00-05:00,Falcons,Rams
14,2016-12-11T20:30:00-05:00,Cowboys,Giants
14,2016-12-12T20:30:00-05:00,Ravens,Patriots
15,2016-12-15T20:25:00-05:00,Rams,Seahawks
15,2016-12-17T20:25:00-05:00,Dolphins,Jets
15,2016-12-18T13:00:00-05:00,Eagles,Ravens
15,2016-12-18T13:00:00-05:00,Browns,Bills
15,2016-12-18T13:00:00-05:00,Packers,Bears
15,2016-12-18T13:00:00-05:00,Buccaneers,Cowboys
15,2016-12-18T13:00:00-05:00,Jaguars,Texans
15,2016-12-18T13:00:00-05:00,Titans,Chiefs
15,2016-12-18T13:00:00-05:00,Colts,Vikings
15,2016-12-18T13:00:00-05:00,Lions,Giants
15,2016-12-18T16:05:00-05:00,Saints,Cardinals
15,2016-12-18T16:05:00-05:00,49ers,Falcons
15,2016-12-18T16:25:00-05:00,Patriots,Broncos
15,2016-12-18T16:25:00-05:00,Raiders,Chargers
15,2016-12-18T20:30:00-05:00,Steelers,Bengals
15,2016-12-19T20:30:00-05:00,Panthers,Redskins
16,2016-12-22T20:25:00-05:00,Giants,Eagles
16,2016-12-24T13:00:00-05:00,Dolphins,Bills
16,2016-12-24T13:00:00-05:00,Falcons,Panthers
16,2016-12-24T13:00:00-05:00,Redskins,Bears
16,2016-12-24T13:00:00-05:00,Chargers,Browns
16,2016-12-24T13:00:00-05:00,Vikings,Packers
16,2016-12-24T13:00:00-05:00,Titans,Jaguars
16,2016-12-24T13:00:00-05:00,Jets,Patriots
16,2016-12-24T13:00:00-05:00,Buccaneers,Saints
16,2016-12-24T16:05:00-05:00,Colts,Raiders
16,2016-12-24T16:25:00-05:00,49ers,Rams
16,2016-12-24T16:25:00-05:00,Cardinals,Seahawks
16,2016-12-24T20:25:00-05:00,Bengals,Texans
16,2016-12-25T16:30:00-05:00,Ravens,Steelers
16,2016-12-25T20:30:00-05:00,Broncos,Chiefs
16,2016-12-26T20:30:00-05:00,Lions,Cowboys
17,2017-01-01T13:00:00-05:00,Saints,Falcons
17,2017-01-01T13:00:00-05:00,Ravens,Bengals
17,2017-01-01T13:00:00-05:00,Packers,Lions
17,2017-01-01T13:00:00-05:00,Jaguars,Colts
17,2017-01-01T13:00:00-05:00,Patriots,Dolphins
17,2017-01-01T13:00:00-05:00,Bears,Vikings
17,2017-01-01T13:00:00-05:00,Bills,Jets
17,2017-01-01T13:00:00-05:00,Cowboys,Eagles
17,2017-01-01T13:00:00-05:00,Browns,Steelers
17,2017-01-01T13:00:00-05:00,Panthers,Buccaneers
17,2017-01-01T13:00:00-05:00,Texans,Titans
17,2017-01-01T13:00:00-05:00,Giants,Redskins
17,2017-01-01T16:25:00-05:00,Raiders,Broncos
17,2017-01-01T16:25:00-05:00,Cardinals,Rams
17,2017-01-01T16:25:00-05:00,Chiefs,Chargers
17,2017-01-01T16:25:00-05:00,Seahawks,49ers
